geometry,address,Nombre,Acrónimo,addr,lon,lat
POINT (-58.37312298571428 -34.59977114285714),"430, Viamonte, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAA, Argentina",Universidad de Buenos Aires,UBA,"Viamonte 430, Buenos Aires, Ciudad de Buenos Aires, Argentina",-58.37312298571428,-34.59977114285714
POINT (-58.37662878367347 -34.60513857346939),"262, Maipú, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1006, Argentina",Universidad de la Defensa Nacional,UNDEF,"Maipú 262, Buenos Aires, Ciudad de Buenos Aires, Argentina",-58.37662878367347,-34.60513857346939
POINT (-58.281357 -34.774374),"Avenida San Martín, San Emilio, Florencio Varela, Partido de Florencio Varela, Buenos Aires, B1879, Argentina",Universidad Nacional Arturo Jauretche,UNAJ,"Av. San Martín 2002, Florencio Varela, Buenos Aires, Argentina",-58.281357,-34.774374
POINT (-65.768453 -28.4661501),"Esquiú, Policía Federal, Jorge Bermudez, San Fernando del Valle de Catamarca, Municipio de San Fernando del Valle de Catamarca, Departamento Capital, Catamarca, 4700, Argentina",Universidad Nacional de Catamarca,UNCa,"Esquiú 612, Catamarca, Catamarca, Argentina",-65.768453,-28.4661501
POINT (-67.49449570612245 -29.16494654489796),"22, 9 de Julio, Barrio Mayo, Chilecito, Departamento Chilecito, La Rioja, 5360, Argentina",Universidad Nacional de Chilecito,UNChiUNdeC,"9 de Julio 22, Chilecito, La Rioja, Argentina",-67.49449570612245,-29.16494654489796
POINT (-68.4726869 -33.2015825),"Centro universitario Rivadavia, Jose Hernandez, Bº San Isidro Sur, Rivadavia, Distrito Ciudad de Rivadavia, Departamento Rivadavia, Mendoza, 5577, Argentina",Universidad Nacional de Cuyo,UNCuUNCuyo,"Centro Universitario, Mendoza, Mendoza, Argentina",-68.4726869,-33.2015825
POINT (-58.745252383992614 -34.5211676),"Universidad Nacional de José Clemante Paz, 4731, Leandro N. Alem, Piñero, José C. Paz, Partido de José C. Paz, Buenos Aires, B1665, Argentina",Universidad Nacional de José C. Paz,UNJPUNPAZ,"Leandro N. Alem 4731, José C. Paz, Buenos Aires, Argentina",-58.745252383992614,-34.5211676
POINT (-65.3219367 -24.1810593),"Avenida Bolivia, Regimiento de Infanteria de Montaña 20 ""Cazadores de los Andes"", Municipio de San Salvador de Jujuy, Departamento Doctor Manuel Belgrano, Jujuy, Y4600AXO, Argentina",Universidad Nacional de Jujuy,UNJu,"Av. Bolivia 1239, San Salvador de Jujuy, Jujuy, Argentina",-65.3219367,-24.1810593
POINT (-58.56281853807715 -34.670515449999996),"Puerta de entrada, 1903, Florencio Varela, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",Universidad Nacional de La Matanza,UNLMUNLaM,"Florencio Varela 1903, San Justo, Buenos Aires, Argentina",-58.56281853807715,-34.670515449999996
POINT (-64.28942336868025 -36.620416899999995),"Universidad Nacional de La Pampa, 353, Coronel Gil, RTC Z2, Centro, Santa Rosa, Municipio de Santa Rosa, Departamento Capital, La Pampa, L6300, Argentina",Universidad Nacional de La Pampa,UNLPam,"Coronel Gil 353, Santa Rosa, La Pampa, Argentina",-64.28942336868025,-36.620416899999995
