Code[10],Official name,Headquarters,Revenuedivisions,Mandals,Population,Area(in sq.km),Density(per sq.km),Cantidad de Personas en el programa
SR,Srikakulam,Srikakulam,3,30,2191471,4591,477.34,16137.0
PM,Parvathipuram Manyam,Parvathipuram,2,15,925340,3659,252.89,
VZ,Vizianagaram,Vizianagaram,2,27,1930811,4122,468.42,13563.0
VS,Visakhapatnam,Visakhapatnam,2,11,1959544,1048,1869.79,
AS,Alluri Sitharama Raju,Paderu,2,22,953960,12251,77.87,
AK,Anakapalli,Anakapalli,2,24,1726998,4292,402.38,
KK,Kakinada,Kakinada,2,21,2092374,3019,693.07,
EG,East Godavari,Rajahmahendravaram,2,20,1832332,2561,715.48,58065.0
KN,Dr. B.R. Ambedkar Konaseema,Amalapuramu,3,22,1719093,2083,825.3,
EL,Eluru,Eluru,3,28,2071700,6679,310.18,
WG,West Godavari,Bhimavaram,2,19,1779935,2178,817.23,23769.0
NT,NTR,Vijayawada,3,20,2218591,3316,669.06,
KR,Krishna,Machilipatnam,3,25,1735079,3775,459.62,45174.0
PL,Palnadu,Narasaraopeta,3,28,2041723,7298,279.76,
GU,Guntur,Guntur,2,18,2091075,2443,855.95,60988.0
BP,Bapatla,Bapatla,2,25,1586918,3829,414.45,
PR,Prakasam,Ongole,3,38,2288026,14322,159.76,16756.0
NE,Sri Potti Sriramulu Nellore,Nellore,4,38,2469712,10441,236.54,
KU,Kurnool,Kurnool,3,26,2271686,7980,284.67,33024.0
NN,Nandyal,Nandyala,3,29,1781777,9682,184.03,
AN,Anantapur,Anantapur,3,31,2241105,10205,219.61,18444.0
SS,Sri Sathya Sai,Puttaparthi,4,32,1840043,8925,206.17,
CU,YSR,Kadapa,3,36,2060654,11228,183.53,
AM,Annamayya,Rayachoti,3,30,1697308,7954,213.39,
TR,Tirupati,Tirupati,4,34,2196984,8231,266.92,
CH,Chittoor,Chittoor,4,31,1872951,6855,273.22,49172.0
