title,date,body
El presidente entregó en Río Negro la vivienda 60.000 de su gestión de Gobierno,Viernes 30 de septiembre de 2022,"El presidente Alberto Fernández encabezó este mediodía, en la ciudad rionegrina de General Roca, el acto de entrega de la vivienda número 60.000 por parte del Gobierno nacional, junto a la gobernadora Arabela Carreras; la intendenta María Emilia Soria, y el ministro de Desarrollo Territorial y Hábitat, Jorge Ferraresi.“La política no tiene sentido si no es para mejorar las condiciones de vida de la gente, y para llevar igualdad allí donde la desigualdad aparece”, dijo el jefe de Estado, quien estuvo acompañado además por el ministro de Justicia y Derechos Humanos, Martín Soria.“Hoy no estamos entregando viviendas, estamos cumpliendo con un derecho"", afirmó el mandatario y explicó que el Gobierno nacional tiene “la obligación de poner equilibrio donde el mercado genera un desequilibrio. Y si el Estado tiene que hacer muchas casas para cubrir el déficit habitacional de la Argentina, debe hacerlo”.“Para nosotros es muy grato estar entregando la vivienda 60.000 aquí en la Patagonia”, expresó el presidente y enfatizó: “Las viviendas que hemos construido significan mucho más que familias que acceden a una casa. Significan el desarrollo de ciudades y provincias, permitir que se puedan afincar en esta tierra y no estén buscando a donde encontrar un futuro. Significan, también, trabajo”.Por su parte, el ministro Ferraresi reflexionó que “a nuestros hijos además de dejarles una casa tenemos que dejarles un país. Hay dos países posibles: uno de viviendas abandonadas o en el que nunca se volvieron a hacer nuevas, y otro donde se construyen casas y la vivienda es una política de Estado"".“Yo veo aquí personas que necesitan viviendas, y veo gobiernos -municipal, provincial y nacional- defendiendo el derecho a la vivienda, sin distinción”, expresó la gobernadora Carreras, y agregó: “Quiero reconocer el enorme trabajo que estamos haciendo en conjunto también en obras de cloacas, de agua y en el desarrollo de infraestructura de barrios populares”.A su turno, la intendenta Soria detalló que “ya se encuentran en construcción 196 viviendas más” en el municipio y recordó que ""la última vez que visitó General Roca un presidente fue en 2015 cuando la ex presidenta Cristina Fernández de Kirchner inauguró la Universidad Nacional de Río Negro. Hoy un presidente, justicialista por supuesto, viene a entregar viviendas. Eso se llama acción"".Durante el acto, el presidente entregó 62 viviendas, entre las que se encontraba la otorgada a Marcela Platero, que es la solución habitacional número 60.000 ejecutada por el Gobierno nacional.Además, con la entrega de las viviendas, cada familia recibió su biblioteca del programa Libros y Casas, que se lleva adelante junto al Ministerio de Cultura, con el objetivo de garantizar el derecho a la lectura y democratizar su acceso. Mediante esta política federal, se distribuirán 60.000 bibliotecas a hogares de todo el país con 14 libros de autores y autoras argentinas.De la actividad participaron también el secretario general de la Presidencia, Julio Vitobello, y el secretario de Gestión Cultural, Federico Prieto.Hasta el momento, en Río Negro se entregaron 2.256 viviendas, con una inversión de 19.576 millones de pesos, y se encuentran en ejecución 3.292 viviendas, con un aporte nacional de más de 24.317 millones de pesos. En total, la provincia contará con 5.610 soluciones habitacionales, que implicarán una inversión de más de 44.304 millones de pesos.  "
Alberto Fernández oficializó la jerarquización profesional y el reordenamiento salarial de las Fuerzas Armadas,Jueves 29 de septiembre de 2022,"El presidente Alberto Fernández anunció esta noche la implementación de un “proceso de jerarquización profesional y reordenamiento salarial” para los integrantes de las Fuerzas Armadas que se hará efectivo a lo largo del año 2023, al encabezar la tradicional cena anual de camaradería.“Hoy nuestro país cuenta con Fuerzas Armadas democráticas, profesionales, preparadas para la defensa de la soberanía en tierra, mar y aire. Fuerzas cercanas al pueblo y dispuestas a colaborar en todo tipo de catástrofes naturales, como lo han demostrado durante la pandemia de COVID 19, los incendios y las inundaciones”, destacó el mandatario en el inicio de su discurso.En este marco afirmó que “pese a las dificultades impuestas por la crisis económica heredada, la deuda externa asociada, la guerra y las consecuencias de la pandemia, sigo manteniendo mi compromiso de fortalecer la defensa nacional, la modernización del instrumento militar y el bienestar de los hombres y mujeres de las Fuerzas”.“Para ello en el ejercicio 2023, concluyendo con medidas de simplificación y transparencia salarial, se dará ejecución a un proceso de jerarquización profesional y reordenamiento salarial que se hará efectivo a lo largo del año”, añadió.En esta línea, explicó que ""además hemos iniciado un proceso de reequipamiento de las Fuerzas Armadas sin precedentes a través de la recuperación, modernización y adquisición de sistemas de armas a través de un instrumento fundamental que nos permite revertir décadas de desinversión: el Fondo Nacional de Defensa”.""El mundo en el que hoy vivimos nos enfrenta a nuevos desafíos, en donde las Fuerzas Armadas ocupan un rol central en la defensa de nuestra soberanía, nuestros recursos y nuestra población. La Argentina presenta características que la convierten en un país de gran relevancia en el escenario global, y para defender los intereses vitales de nuestra Nación debemos tener una política de defensa firme y estratégica para proteger al conjunto de los argentinos”, reafirmó el Presidente.En su carácter de Comandante en Jefe de las Fuerzas Armadas, y acompañado por el ministro de Defensa, Jorge Taiana, el mandatario reafirmó los lineamientos dispuestos por la Directiva Política de Defensa Nacional, además de repasar los avances logrados en los últimos años.En esta oportunidad, la ceremonia fue organizada por la Fuerza Aérea y volvió a celebrarse en el Edificio Libertador luego de que en sus dos últimas ediciones tuviera que modificarse a causa de la pandemia del Covid-19.“En este encuentro con el sector militar, el Presidente ha sido muy claro sobre la importancia que tienen las Fuerzas Armadas en la custodia de nuestra soberanía nacional, sobre todo en un país como el nuestro que representa la octava extensión territorial del mundo, con recursos renovables y no renovables muy valiosos”, resaltó en un mensaje el jefe de la cartera de Defensa.Taiana valoró, a su vez, “el proceso de reequipamiento y modernización de nuestro instrumento militar, a través del FONDEF, y el fortalecimiento del despliegue de nuestras Fuerzas en todo el territorio nacional"".También compartieron la mesa principal el ministro de Seguridad, Aníbal Fernández; el titular de la AFI, Agustín Rossi; el secretario general de la Presidencia, Julio Vitobello; la secretaria de Legal y Técnica, Vilma Ibarra; y los jefes del Estado Mayor Conjunto, teniente general Juan Martín Paleo; de la Fuerza Aérea, brigadier general Xavier Isaac; de la Armada, almirante Julio Guardia; y del Ejército, general de división Guillermo Pereda. Estuvieron presentes, además, el ministro de Justicia y Derechos Humanos, Martín Soria; y el vicejefe de Gabinete, Juan Manuel Olmos.  "
"El presidente mantuvo una reunión con directivos de ALSEA, quienes anunciaron inversiones por 30 millones de dólares en el país para el período 2022-2023",Jueves 29 de septiembre de 2022,"El presidente Alberto Fernández recibió hoy en la residencia de Olivos a ejecutivos de ALSEA encabezados por el director Global y socio fundador de la firma, Armando Torrado Martínez, quien anunció que la empresa invertirá 30 millones de dólares para el período 2022-2023 y creará 600 nuevos puestos de trabajo directos que se suman a los 1000 generados durante este año.El mandatario estuvo acompañado por el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero, y la secretaria de Relaciones Económicas Internacionales, Cecilia Todesca Bocco. Por la empresa ALSEA, además de Armando Torrado Martínez, participaron Santiago Farinati (CEO para Cono Sur -Argentina, Chile y Uruguay), y Marcelo Rojas Panelo (Director de Legales y Asuntos Corporativos Cono Sur).Durante el encuentro, Torrado Martínez repasó los proyectos de ALSEA para la región y la Argentina, al tiempo que le transmitió al Presidente los desafíos y oportunidades que la empresa identifica para el mercado local, destacando las importantes expectativas de crecimiento y generación de empleo de la empresa.El empresario informó que para el período 2022-2023, ALSEA prevé invertir aproximadamente 30 millones de dólares que se destinarán a la apertura de cuatro nuevos locales y la remodelación de 22 durante este año, y de ocho nuevos restaurantes y el reacondicionamiento de 25 establecimientos durante 2023.El CEO de ALSEA señaló que la firma creará 600 nuevos puestos de trabajo directos que se suman a los 1000 generados durante este año, y agradeció el sostén y confianza otorgada por el Estado argentino durante el período de la pandemia, que se canalizó en la ayuda financiera que representó la inclusión de la empresa en el “Programa de Asistencia al Trabajo y la Producción” (ATP).Durante la reunión, dialogaron además sobre las posibilidades de incrementar el porcentaje de insumos y bienes producidos localmente para proveer a los locales comerciales que ALSEA administra en nuestro país y que podrían exportarse desde la Argentina a la región.La firma, que comenzó a trabajar en la Argentina en 2006 con 27 tiendas y 1 marca, cuenta en la actualidad con 246 unidades de negocios y dos marcas: Burger King y Starbucks, que tienen presencia en 10 provincias y en la Ciudad de Buenos Aires.Desde que inició sus operaciones en el país, ALSEA lleva invertido en la Argentina más de 250 millones de dólares, y en total genera más de 6500 empleos directos y 2000 puestos de trabajos indirectos.ALSEA opera en la actualidad más de 4300 tiendas distribuidas en Argentina, México, Colombia, Chile, Uruguay, Francia y España, entre otros, con marcas como Domino’s Pizza, Starbucks, Burger King, Chilis, P. F. Chang’s, Italianni's, y The Cheesecake Factory, y cuenta con cerca de 73.000 trabajadores y trabajadoras.  "
"Alberto Fernández: ""El Estado tiene que estar presente para promover el deporte como forma de vida y de desarrollo social”",Jueves 29 de septiembre de 2022,"El presidente Alberto Fernández dijo que ""el Estado tiene que estar presente para promover el deporte como forma de vida y de desarrollo social"", al entregar este mediodía en el CeNARD la bandera argentina y despedir a la delegación que representará al país en los XII Juegos Suramericanos Asunción 2022, que tendrán lugar en Paraguay del 1 al 15 de octubre.Durante el acto, se anunció un incremento en el monto de las becas de este año del 109 por ciento para atletas, entrenadores y entrenadoras de representación nacional y el inicio de la segunda y tercera etapa del plan de puesta en valor del CeNARD con una inversión de 654 millones de pesos.“Todo esto no es un gasto, es una inversión para tener una mejor sociedad. El deporte es una gran herramienta para hacer mejores personas y nosotros apostamos a eso”, enfatizó el mandatario junto al ministro de Obras Públicas, Gabriel Katopodis, y la secretaria de Deportes, Inés Arrondo.Luego de entregar la bandera a la jugadora de hockey sobre césped Rocío Sánchez Moccia y al palista Agustín Vernice, que encabezarán a la delegación nacional en la Ceremonia de Apertura de los XII Juegos Suramericanos Asunción 2022, el mandatario expresó: “Quiero comprometerme ante ustedes que vamos a seguir en esta senda, apostando al deporte amateur, al deporte de alto rendimiento”, porque “ el deporte es una de las mejores formas que tiene una sociedad de formar a sus ciudadanos, una forma de internalizar reglas de conducta, y normas de cultura”.Por su parte, la secretaria Arrondo anunció “un incremento en el monto de las becas de este año del 109 por ciento” para atletas, entrenadores y entrenadoras de representación nacional, y señaló que “el presupuesto de la Secretaría de Deportes de la Nación pasó de 1.375 millones a 8.551 millones de pesos, y el presupuesto del Ente Nacional de Alto Rendimiento Deportivo pasó de 1.125 millones a 4.000 millones de pesos”.El plan de puesta en valor del CeNARD comprende la renovación completa de la superficie sintética de la pista de atletismo Delfo Cabrera, la reubicación de la pista de atletismo cubierta Osvaldo Suárez, la construcción de dos canchas de hockey sobre césped sintético con la misma tecnología utilizada en los Mundiales y en los Juegos Olímpico, la ampliación y refacción de los vestuarios del Natatorio Jeanette Campbell y la construcción de un nuevo edificio para la Secretaría de Deportes y el ENARD.Los Juegos Suramericanos tendrán en esta edición, por primera vez en su historia, un abanderado hombre y una abanderada mujer, continuando con la iniciativa del Comité Olímpico Internacional que comenzó en los Juegos Olímpicos de Tokio 2020.En el caso de la Argentina se trata de la jugadora de hockey sobre césped, Rocío Sánchez Moccia, quien a sus 34 años tiene más de 250 partidos internacionales con la camiseta de las Leonas; y del palista olavarriense Agustín Vernice, de 27 años, quien finalizó octavo los pasados Juegos Olímpicos de Tokio 2020 y a nivel Panamericano consiguió dos medallas doradas en los Juegos de Lima 2019 (K1 y K2 1000 metros).La delegación argentina, conformada por 592 atletas (289 mujeres y 303 varones), es la mayor en la historia ya que supera a los 545 que participaron en Medellín en 2010. El país tendrá representación en 52 de las 53 disciplinas que componen el Programa de Competencias.Al acto también asistieron el ministro de Relaciones Exteriores, Comercio Internacional y Culto, Santiago Cafiero; la representante de la Comisión de Atletas, Paula Pareto, y el Jefe de Misión del Comité Olímpico Argentino para estos juegos, Carlos Ferrea.  "
Cerruti destacó el “compromiso y el trabajo permanente del Gobierno nacional en conjunto para que los salarios crezcan”   ,Jueves 29 de septiembre de 2022,"La portavoz de la Presidencia, Gabriela Cerruti, aseguró esta mañana que “todos en el Gobierno acordamos con el diagnóstico de que estamos en un período donde hay una excesiva rentabilidad empresaria”, y destacó el objetivo central del “plan de estabilización” que está llevando adelante “para que la carga de la distribución no termine siempre cayendo sobre las familias y los más vulnerables”.En el inicio de la conferencia semanal que brinda a la prensa acreditada en la Casa Rosada, Cerruti expresó que los índices de la incidencia de la pobreza y de la indigencia del primer semestre de 2022, publicados ayer por el Instituto Nacional de Estadísticas y Censos (INDEC), “son datos que podrían ser alentadores en el sentido de que está disminuyendo la pobreza por tercer semestre consecutivo y que nos estamos acercando a las cifras pre-pandemia”.Señaló, a su vez, que “son números altísimos que no nos conforman, y entendemos que poder ir disminuyendo la pobreza tiene que ser un camino y un sendero que se profundice y se acelere”.Con respecto a la tasa de indigencia, consideró que “tiene un impacto muy fuerte el alza del precio de los alimentos que, dentro de la inflación general, es la que más influye en las canastas de las familias, y por eso el compromiso y el trabajo permanente de todo el Gobierno en conjunto para que los salarios crezcan”.En ese marco, postuló que “la necesidad imperiosa de una redistribución del ingreso, de un fortalecimiento del poder adquisitivo de los salarios y de alguna forma de ponernos de acuerdo en que la rentabilidad excesiva por parte de las empresas no forma parte de una comunidad en la cual todos y todas queremos vivir, es parte del diálogo cotidiano dentro del Gobierno y de las medidas y políticas que el Ministerio de Economía va a llevar adelante”.En cuanto a la tendencia sostenida del crecimiento del trabajo registrado, valoró que “el último índice nos muestra que el desempleo ha descendido por debajo del 7 por ciento, un número histórico, y en algunas provincias llegamos casi al pleno empleo”. De todas maneras, sostuvo que “si estos números no van acompañados de un incremento en los ingresos y de una reducción en la inflación, no terminan impactando en el poder adquisitivo de las familias, y esa es la prioridad del Gobierno”.“Tal como expresó ayer el ministro de Economía, Sergio Massa, en la Cámara de Diputados, uno de los objetivos centrales del Gobierno en este momento es que el plan de estabilización, que evidentemente está funcionando y se está llevando adelante, pueda profundizarse hacia lograr un mayor poder adquisitivo de los salarios y una reducción al mismo tiempo de la inflación para que podamos lograr, más temprano que tarde, unos números que nos alienten un poco más con respecto a la pobreza y a la indigencia”, profundizó.Y concluyó: “Hasta que no haya ninguna familia que no tenga que sufrir ningún tipo de carencia o dificultad para llevar adelante su vida cotidiana, no estará cumplido el objetivo del Gobierno”.  "
"“Tengo la gran tranquilidad de que hemos llevado nuestro esfuerzo, como Gobierno nacional, a todas las latitudes del país”, dijo el presidente en San Luis",Miércoles 28 de septiembre de 2022," El presidente Alberto Fernández encabezó este mediodía, junto al gobernador Alberto Rodríguez Saá, una reunión del gabinete federal del programa Capitales Alternas en la ciudad de San Luis, en donde se firmaron convenios y se realizaron anuncios en materia de obras públicas, vivienda, educación, cultura, turismo y deportes, entre otros.“Tengo la gran tranquilidad de que en estos años no hemos discriminado a nadie y hemos llevado nuestro esfuerzo, como Gobierno nacional, a todas las latitudes del país, porque en verdad nuestra preocupación son los argentinos y argentinas, no quien gobierna en cada ocasión”, expresó.En Terrazas del Portezuelo, el mandatario manifestó que “desde el primer día como Presidente, me puse como objetivo en la cabeza”, que es necesario “convertir en realidad la Argentina federal declamada en la constitución”, y que “el esfuerzo del Estado nacional debe estar en desarrollar el interior de la patria”.En relación a la reunión del gabinete federal en San Luis, el Jefe de Estado aseguró que “hoy la Nación está en esta capital, y como hacemos cada vez que generamos estas reuniones ponemos todo el esfuerzo nacional en el lugar a donde vamos”.En tanto, el gobernador Alberto Rodríguez Saá afirmó que la presencia del Presidente y del gabinete nacional en la provincia “le hace bien al país, a la historia de San Luis y al federalismo”. Además, aseguró que los convenios que se suscribieron son “obras y proyectos que tienen un beneficio enorme” para el pueblo puntano.Acompañaron al jefe de Estado los ministros de Obras Públicas, Gabriel Katopodis, y de Educación, Jaime Perczyk; el secretario general de la Presidencia, Julio Vitobello; los secretarios de Interior, José Lepere, y de Desarrollo Territorial, Luciano Scatolini, y la secretaria de Deporte, Inés Arrondo. Además, participaron el jefe de Gabinete de Asesores del Ministerio de Cultura, Esteban Falcón; el titular del INCAA, Nicolás Batlle; el administrador del ENHOSA, Enrique Cresto, y el diputado nacional Carlos Ponce.Por su parte, el intendente de la Ciudad de San Luis, Sergio Tamayo, hizo entrega de la llave de la Ciudad al Presidente de la Nación, y agradeció su presencia y la del gabinete nacional y provincial.Durante la actividad, el ministro Katopodis firmó junto al gobernador Rodríguez Saá el acta acuerdo para la ejecución de la obra de jerarquización de la Avenida Santos Ortiz por 8.017 millones de pesos, y el acta compromiso para el desarrollo del Proyecto de Obra de recambio de cañería de agua y cloaca en 100 cuadras de la Ciudad de San Luis por 1.100 millones de pesos, acuerdo que también firmaron el intendente Tamayo y el titular de ENHOSA, Enrique Cresto.Además, el Ministerio de Obras Públicas anunció el inicio de la construcción de dos Centros de Desarrollo Infantil en el Municipio de San Luis y dos en Villa Mercedes, con una inversión de 198 millones de pesos.La cartera de infraestructura informó el comienzo de la obra de mantenimiento y conservación de la Ruta Nacional N° 146 que requerirá una inversión de 753 millones de pesos, y el financiamiento de la Primera Etapa de la construcción del Acueducto del Este por 9.134 millones de pesos, de la Readecuación del Sistema de Agua Potable en la Localidad de Justo Daract por 1.472 millones de pesos, y de la construcción de tres Escuelas Técnicas de Educación Profesional Secundaria por 1.386 millones de pesos.A su vez, el ministro Perczyk suscribió con el gobernador Rodríguez Saá el convenio de cooperación por 1.580 millones de pesos para la refacción integral de dos escuelas técnicas, y la cartera educativa anunció la entrega de 3.439 netbooks en más de 99 escuelas en el marco del Programa Conectar Igualdad con una inversión de 152 millones de pesos, y obras en las Universidades Nacionales de San Luis, Villa Mercedes y Comechingones por 514 millones de pesos.Por su parte, el Ministerio de Desarrollo Territorial y Hábitat anunció la entrega en el mes de noviembre de 300 viviendas nuevas en Villa Mercedes y la aprobación técnica de 33 proyectos para la construcción de 593 viviendas nuevas en 33 municipios de la provincia, que demandará fondos por 4.343 millones de pesos.El titular del INCAA, Nicolás Batlle, firmó con el mandatario provincial el convenio en el marco del proyecto San Luis Cine - Cinemateca Nacional - Museo Nacional Del Cine - Sala De Cine, que convertirá a la provincia en sede de la preservación del patrimonio documental, fílmico y audiovisual de Argentina.En tanto, el Ministerio del Interior anunció inversiones por más de 453 millones de pesos en el marco del programa de Fortalecimiento de la Gestión Provincial II para la modernización e integración del Sistema Tributario de San Luis.El Ministerio de Turismo y Deportes anunció inversiones por 43 millones de pesos en el marco de la realización de los Juegos Evita para Personas Mayores de la Ciudad de San Luis, y la secretaria Arrondo firmó el acta de intención para el financiamiento nacional por 60 millones de pesos de la primera etapa del proyecto de rehabilitación y ampliación de la piscina existente en el complejo deportivo provincial Ave Fénix. Además, se suscribió la declaración de interés nacional de la candidatura de Argentina y la sede en San Luis del Mundial Absoluto de Pelota Vasca en 2026.Previamente, el Jefe de Estado visitó el Hospital Central de San Luis Ramón Carrillo, donde recorrió el quirófano híbrido, el área de cuidados críticos de la unidad coronaria, las salas de internaciones, y el centro de comando que muestra las estadísticas del establecimiento médico en tiempo real. Lo recibieron la ministra de Salud provincial, Rosa Dávila; la directora de esa institución, María José Zancla; el director Médico, José Núñez, y la ingeniera, Delicia Soria. También supervisó la Obra de la Circunvalación de la Ciudad de San Luis, en la Ruta Nacional N° 146 y Variante 147.La Ley que establece las 24 Capitales Alternas fue una propuesta del Poder Ejecutivo que el Congreso de la Nación aprobó el 11 de noviembre de 2020, y tiene como objetivo impulsar políticas públicas para superar las asimetrías territoriales. En ese marco se realizan reuniones de gabinete federal entre funcionarios nacionales, representantes de las organizaciones de la sociedad civil y autoridades locales.  "
El presidente llegó a San Luis para encabezar una reunión de gabinete federal,Miércoles 28 de septiembre de 2022,"El presidente Alberto Fernández arribó al Aeropuerto de la ciudad de San Luis, donde fue recibido por el gobernador Alberto Rodríguez Saá y el intendente de la capital provincial, Sergio Tamayo.El mandatario viajó a San Luis para encabezar una reunión de gabinete federal en el marco del programa Capitales Alternas, firmar convenios, visitar obras y recorrer el Hospital Central “Ramón Carrillo”.Acompañan al presidente los ministros de Obras Públicas, Gabriel Katopodis, y de Educación, Jaime Perczyk; el secretario general de la Presidencia, Julio Vitobello; los secretarios de Interior, José Lepere, y de Desarrollo Territorial, Luciano Scatolini, y la secretaria de Deporte, Inés Arrondo.También forman parte de la actividad en San Luis el jefe de gabinete de asesores del Ministerio de Cultura, Esteban Falcón; el titular del INCAA, Nicolás Batlle; el administrador del ENHOSA, Enrique Cresto, y el diputado nacional Carlos Ponce.  "
Cerruti contestó preguntas de estudiantes de Berazategui que realizaron una visita a la Casa Rosada,Martes 27 de septiembre de 2022,"La portavoz de la Presidencia, Gabriela Cerruti, brindó esta mañana una conferencia de prensa a un grupo integrado por 17 alumnos y alumnas de la escuela pública de educación secundaria N° 45 de Berazategui, quienes previamente realizaron una visita guiada a la Casa Rosada.“La posibilidad de que sean ustedes quienes hoy pregunten lo que quieren saber desde el tiempo histórico que están viviendo y desde las preocupaciones cotidianas que tienen nos parece fundamental para construir una comunicación más democrática”, expresó Cerruti.Al recibirles en la Sala de Conferencias, la funcionaria declaró: “Ustedes son una generación muy particular marcada por haber tenido que vivir la pandemia durante la adolescencia, que es sin dudas uno de esos hitos que siempre vamos a recordar cuando contemos nuestra biografía”.El grupo de estudiantes fue recibido en la Sala de Pueblos Originarios y luego realizaron la visita guiada por la Casa de Gobierno. Finalmente participaron de la primera conferencia realizada con estudiantes de nivel secundario.Además de consultarle acerca de su rol como Portavoz y sobre la agenda del presidente, los y las estudiantes formularon preguntas relacionadas con temas de su interés, como la violencia en las escuelas, el proyecto de ley de Humedales y las políticas implementadas por el Gobierno nacional para combatir la inflación y la indigencia.  "
Alberto Fernández: “Llevamos entregados casi 12 millones de libros y aspiramos a entregar 36 millones en todos los niveles”,Lunes 26 de septiembre de 2022,"El presidente Alberto Fernández encabezó esta mañana, en el municipio bonaerense de Marcos Paz, el acto de entrega de libros para niñas y niños de nivel inicial, como parte del programa Libros para Aprender, que tiene por objetivo cumplir con el derecho a la educación y garantizar el acceso universal a textos esenciales para el aprendizaje.Acompañado por el ministro de Educación, Jaime Perczyk, el mandatario afirmó que “la inversión que el Estado hace en educación es la mejor que puede hacer porque las sociedades más ricas son las que tienen desarrollada su inteligencia, y para eso hay que empezar aquí, en el nivel inicial, para sembrar la semilla”.En este marco, el Presidente recordó que “cuando llegamos al Gobierno habían quedado paralizadas en la provincia de Buenos Aires 196 obras educativas, algunas de las cuales habían alcanzado el 70 por ciento de su desarrollo”, y en contraste resaltó que “llevamos entregados casi 12 millones de libros y aspiramos a entregar 36 millones en todos los niveles”.Al destacar el más de medio millón de netbooks del programa Conectar Igualdad y las más de 1,5 millones de becas Progresar, el Presidente destacó la importancia de que los niños y niñas tengan el “primer contacto con ese mundo mágico que es un libro” y de que “las nuevas generaciones no pierdan la costumbre de leer, algo absolutamente imperioso y necesario”.“Cuando todos ponemos el esfuerzo y tiramos para el mismo lado los resultados son más fáciles de obtener y se puede disfrutar mejor”, concluyó el Presidente en referencia a un cuento que compartió con chicos y chicas de las salas de 3 y 4 años del jardín de infantes Nº 915.Por su parte, Perczyk expresó: “El nivel inicial es determinante, es el primer lugar donde se aprende que uno tiene derechos y que los demás también, donde nos encontramos con otros que son distintos, pero fundamentalmente iguales, por eso es el nivel que más democratiza y que más iguala”.En ese sentido valoró el “apoyo y el impulso del Presidente para que todos los chicos y chicas de la Argentina, desde la sala de 3 y hasta los 12 años de la escuela primaria, en el año 2022 tengan su libro personal”.En el transcurso del acto, el Presidente y el ministro de Educación, acompañados por el director general de Cultura y Educación bonaerense, Alberto Sileoni, el intendente local, Ricardo Curutchet y la directora del Jardín Nº 915 Verónica González, entregaron a las autoridades de 17 jardines de infantes del municipio, libros para las salas de 3, 4 y 5, que los niños y niñas podrán llevar a sus casas para compartir junto a sus familias.Además, estuvieron presentes el secretario general de Presidencia, Julio Vitobello; la portavoz Presidencial, Gabriela Cerruti; y la secretaria de Educación de la Nación, Silvina Gvirtz.A través de esta iniciativa, que está orientada a intensificar el proceso de alfabetización, optimizar el tiempo y darle continuidad al trabajo pedagógico en los hogares, se distribuirán 3.461.352 ejemplares a 1.316.201 niñas y niños de 18.237 instituciones, con una inversión de más de 2.800 millones de pesos.En Marcos Paz, el programa prevé la entrega de 5.836 obras literarias a 2.553 niñas y niños, que se suman a los 11.074 libros ya entregados a alumnas y alumnos de nivel primario.Libros para Aprender contempla la distribución, en 2022, de 11.700.000 libros en los tres niveles educativos, mientras que a fines del año 2023 el Gobierno nacional habrá entregado más de 37.633.000 unidades.  "
Alberto Fernández: “La recuperación pos pandemia nos presenta nuevas posibilidades de colaboración”,Lunes 26 de septiembre de 2022,"El presidente Alberto Fernández expuso hoy de forma virtual en la apertura de la 30ª Conferencia Sanitaria Panamericana, máxima autoridad en la materia del continente, donde aseguró que “la recuperación pos pandemia nos presenta nuevas posibilidades de colaboración”, y destacó que “solo invirtiendo en salud pública, desde un enfoque de derechos y con perspectiva de género, vamos a reducir nuestra dependencia y vulnerabilidad”.“Dos cosas quiero subrayar que nos dejó la pandemia: la primera es la importancia de priorizar la salud y la segunda es que, de las crisis, como de las emergencias, nadie se salva solo”, señaló el mandatario en su discurso que se transmitió en el encuentro que se realiza en Washington D.C.El evento contó también con las ponencias de la directora de la Organización Panamericana de la Salud, Carissa Etienne; el director general de la Organización Mundial de la Salud, Tedros Adhanom Ghebreyesus, y el mandatario de Dominica, Charles Savarin.En su discurso, el Presidente puso en valor la ayuda entre los países de la región al destacar que “es sin dudas una de las más activas en materia de cooperación y particularmente activa en cooperación sanitaria”, y detalló: “La Región de las Américas no sólo fue la primera en declarar la eliminación de enfermedades como la viruela, la polio, la rubéola, la rubéola congénita y el sarampión, sino también la primera en crear una organización internacional en salud pública en el mundo”.“Esta organización, que este año cumple 120 años, es sin dudas el resultado del liderazgo regional, así como del compromiso con la salud pública de todos los países que integramos el sistema interamericano”, celebró el jefe de Estado, al tiempo que subrayó que “la recuperación pos pandémica nos presenta nuevas posibilidades de colaboración”.El Presidente se refirió además a algunos de los desafíos que enfrenta la región: “La mortalidad materna en nuestra región es inadmisiblemente alta. Debemos redoblar los esfuerzos para garantizar la salud sexual y reproductiva, así como un abordaje integral de la salud mental y consumos problemáticos. Tenemos que implementar estrategias regionales y nacionales que desplacen el foco desde la lucha contra la enfermedad a la búsqueda de recursos y la protección y promoción de la salud”.En ese sentido, Alberto Fernández destacó la labor del gobierno argentino al remarcar que el país “está implementado una política estratégica de atención y cuidado integral de la salud durante el embarazo y la primera infancia, fortaleciendo las acciones para la erradicación de la violencia por motivos de género, y las políticas que aseguran el pleno ejercicio de los derechos sexuales y reproductivos”.Por último, el jefe de Estado felicitó “el importante rol de las Ministras y los Ministros de Salud de la región, quienes tuvieron que enfrentar con compromiso la enorme responsabilidad de tomar decisiones en una de las crisis humanitarias más importantes de este siglo”.La Conferencia Sanitaria Panamericana es el órgano máximo de la OPS y se reúne cada cinco años con el fin de determinar sus políticas generales, instancia en la que también los Estados Miembros y Participantes eligen, mediante una votación secreta, al próximo Director o Directora de la Organización.La 30ª Conferencia Sanitaria Panamericana, que se realiza en la capital estadounidense del 26 al 30 de septiembre, es la primera que se lleva a cabo de manera presencial luego de la pandemia de COVID-19. El miércoles 28 se realizará la votación y la persona que reciba la mayoría de los votos será nombrada para dirigir la OPS durante los siguientes cinco años, asumiendo el cargo el 1 de febrero del 2023.Carla Vizzotti, ministra de Salud de la Nación, asistió en representación del gobierno argentino al encuentro en cuya apertura también expusieron el Secretario de Salud y Servicios Humanos de los Estados Unidos, Xavier Becerra; el Ministro de Salud Pública y Bienestar Social de Paraguay y presidente saliente de la Conferencia Sanitaria Panamericana, Julio Borba.  "
